agent 0,won,lost,lost,lost,lost,lost,lost,lost,won,lost,draw,lost,won,lost,lost,won,won,lost,lost,won,lost,lost,lost,won,won,won,won,won,lost,won,won,draw,lost,lost,lost,won,won,won,lost,won,won,draw,won,won,lost,lost,lost,won,lost,lost,draw
agent 1,won,lost,won,won,won,lost,lost,draw,won,lost,won,won,won,won,draw,won,won,lost,won,won,lost,lost,lost,won,won,won,won,draw,won,lost,lost,won,lost,won,won,lost,won,won,lost,lost,lost,won,won,won,won,lost,won,won,lost,lost,lost
agent 2,won,won,won,lost,lost,won,won,won,won,won,lost,won,won,lost,won,lost,won,draw,won,lost,won,won,lost,lost,lost,won,won,won,draw,won,lost,won,won,lost,won,won,lost,lost,won,lost,won,won,won,won,won,lost,won,won,won,lost,won
agent 3,won,lost,lost,lost,lost,lost,lost,lost,lost,won,lost,lost,won,won,won,lost,lost,lost,won,won,lost,lost,lost,won,lost,won,won,won,won,draw,won,won,won,draw,lost,won,won,lost,lost,lost,won,won,lost,won,won,lost,won,lost,won,draw,draw
agent 4,won,won,won,lost,won,draw,lost,lost,won,won,won,lost,lost,lost,won,lost,lost,lost,won,won,lost,won,won,lost,lost,lost,draw,won,won,won,lost,lost,lost,won,lost,lost,lost,lost,won,won,won,lost,lost,lost,won,won,won,lost,won,draw,won
agent 5,lost,lost,won,won,won,lost,won,draw,won,won,lost,won,lost,won,won,won,draw,lost,won,lost,lost,won,won,won,lost,lost,won,lost,lost,draw,won,won,won,lost,lost,lost,draw,won,lost,lost,lost,lost,lost,won,won,lost,won,lost,won,lost,lost
agent 6,draw,won,draw,lost,lost,lost,lost,lost,lost,lost,won,lost,lost,won,won,lost,lost,won,lost,lost,lost,lost,won,won,won,won,draw,lost,lost,lost,lost,won,lost,draw,lost,won,won,lost,lost,won,lost,lost,won,won,lost,lost,lost,lost,lost,lost,won
agent 7,lost,won,won,lost,draw,won,draw,lost,won,won,draw,lost,lost,lost,lost,lost,lost,lost,won,lost,lost,lost,lost,lost,won,won,lost,won,lost,won,won,lost,won,lost,won,lost,lost,lost,lost,won,lost,won,lost,lost,lost,won,lost,won,lost,won,won
agent 8,won,won,lost,draw,lost,won,won,lost,won,lost,won,won,won,won,lost,lost,won,won,lost,lost,lost,won,lost,lost,lost,lost,won,lost,lost,won,won,lost,lost,lost,won,lost,won,lost,won,lost,won,won,won,draw,lost,won,lost,won,won,draw,draw
agent 9,draw,won,lost,lost,draw,lost,won,lost,won,lost,won,won,lost,draw,lost,lost,won,won,draw,won,won,lost,won,lost,won,won,won,lost,won,lost,won,won,lost,lost,won,lost,won,won,lost,won,won,won,lost,won,lost,won,won,won,lost,draw,lost
agent 10,won,won,won,won,won,won,won,draw,draw,won,lost,won,won,won,draw,won,won,lost,lost,draw,lost,won,won,lost,lost,won,lost,lost,won,won,lost,lost,lost,lost,lost,won,lost,lost,lost,lost,lost,won,won,won,won,won,lost,lost,lost,lost,lost
agent 11,won,won,won,draw,lost,lost,lost,draw,lost,won,lost,won,won,lost,won,won,won,lost,won,lost,lost,won,won,lost,won,lost,lost,lost,won,lost,lost,won,won,won,won,won,won,won,lost,won,lost,lost,lost,won,won,won,won,won,won,draw,won
agent 12,lost,won,lost,lost,lost,won,won,won,won,lost,won,lost,won,lost,won,draw,lost,lost,lost,lost,won,won,lost,lost,won,won,draw,won,won,lost,lost,won,lost,lost,won,won,won,lost,lost,lost,draw,lost,lost,draw,won,lost,lost,won,lost,draw,lost
agent 13,won,lost,lost,lost,lost,won,won,won,won,won,won,lost,won,lost,won,won,lost,lost,lost,won,won,won,won,lost,lost,lost,lost,lost,won,won,lost,lost,won,draw,won,lost,lost,lost,lost,won,lost,lost,draw,won,won,lost,won,won,won,lost,draw
agent 14,lost,won,won,lost,lost,lost,lost,lost,won,won,won,won,lost,draw,lost,won,won,won,lost,lost,won,lost,draw,lost,won,won,won,won,won,won,lost,lost,lost,won,lost,won,lost,lost,won,lost,lost,won,won,lost,lost,won,lost,lost,won,lost,lost
agent 15,won,won,won,won,won,lost,lost,draw,won,won,won,won,won,lost,lost,lost,lost,won,won,lost,lost,lost,won,won,won,draw,won,lost,lost,won,lost,won,won,lost,won,lost,lost,lost,won,lost,draw,won,won,lost,won,draw,lost,won,draw,won,draw
