[generation 0]
agent_0 = 4.356178
agent_1 = 4.356178
agent_2 = 4.356178
agent_3 = 4.356178
agent_4 = 4.356178
agent_5 = 4.356178
agent_6 = 4.356178
agent_7 = 4.356178
agent_8 = 3.606178
agent_9 = 5.556178
agent_10 = 3.606178
agent_11 = 3.606178
agent_12 = 38.606178
agent_13 = 1.714286
agent_14 = 1.714286
agent_15 = 1.714286
agent_16 = 1.714286
agent_17 = 1.714286
agent_18 = 0.000000
agent_19 = 13.714286

[generation 1]
agent_0 = 2.693772
agent_1 = 116.658684
agent_2 = 2.893772
agent_3 = 2.511954
agent_4 = 2.511954
agent_5 = 2.511954
agent_6 = 2.330136
agent_7 = 2.711954
agent_8 = 2.148317
agent_9 = 2.530136
agent_10 = 2.148317
agent_11 = 2.148317
agent_12 = 0.181818
agent_13 = 119.548317
agent_14 = 0.000000
agent_15 = 0.381818
agent_16 = 0.000000
agent_17 = 0.000000
agent_18 = 0.000000
agent_19 = 0.000000

[generation 2]
agent_0 = 2.845855
agent_1 = 11.820323
agent_2 = 2.664037
agent_3 = 3.045855
agent_4 = 62.264037
agent_5 = 0.728972
agent_6 = 0.728972
agent_7 = 0.728972
agent_8 = 0.728972
agent_9 = 0.728972
agent_10 = 0.000000
agent_11 = 1.876031
agent_12 = 0.000000
agent_13 = 0.000000
agent_14 = 0.000000
agent_15 = 0.000000
agent_16 = 0.000000
agent_17 = 0.000000
agent_18 = 0.000000
agent_19 = 0.000000

[generation 3]
agent_0 = 11.521277
agent_1 = 32.128969
agent_2 = 11.521277
agent_3 = 11.521277
agent_4 = 11.339459
agent_5 = 11.721277
agent_6 = 76.089459
agent_7 = 9.399384
agent_8 = 412.999384
agent_9 = 7.409246
agent_10 = 36.409246
agent_11 = 5.538278
agent_12 = 5.538278
agent_13 = 5.538278
agent_14 = 42.138278
agent_15 = 3.641905
agent_16 = 14.141905
agent_17 = 1.961905
agent_18 = 104.961905
agent_19 = 0.000000

[generation 4]
agent_0 = 463.158515
agent_1 = 6.767279
agent_2 = 4.910137
agent_3 = 32.767279
agent_4 = 3.195851
agent_5 = 16.910137
agent_6 = 3.195851
agent_7 = 3.195851
agent_8 = 3.195851
agent_9 = 3.195851
agent_10 = 3.395851
agent_11 = 3.014033
agent_12 = 1.883598
agent_13 = 5.614033
agent_14 = 1.883598
agent_15 = 1.883598
agent_16 = 0.000000
agent_17 = 34.247234
agent_18 = 0.000000
agent_19 = 0.000000

