[generation -1]
agent_0 = 9.807843
agent_1 = 9.807843
agent_2 = 0.000000
agent_3 = 0.000000
agent_4 = 9.807843
agent_5 = 9.807843
agent_6 = 0.000000
agent_7 = 0.000000
agent_8 = 9.807843
agent_9 = 20.607692
agent_10 = 0.000000
agent_11 = 0.000000
agent_12 = 20.607692
agent_13 = 9.807843
agent_14 = 20.607692
agent_15 = 0.000000
agent_16 = 20.607692
agent_17 = 0.000000
agent_18 = 0.000000
agent_19 = 0.000000

[generation 0]
agent_0 = 4.926686
agent_1 = 0.000000
agent_2 = 0.000000
agent_3 = 0.000000
agent_4 = 0.000000
agent_5 = 0.249308
agent_6 = 0.000000
agent_7 = 0.000000
agent_8 = 1.961315
agent_9 = 1.961315
agent_10 = 0.000000
agent_11 = 103.361315
agent_12 = 44.987189
agent_13 = 1.879781
agent_14 = 33.152509
agent_15 = 0.000000
agent_16 = 28.460140
agent_17 = 0.000000
agent_18 = 0.000000
agent_19 = 0.000000

[generation 1]
agent_0 = 1.898477
agent_1 = 22.506169
agent_2 = 0.000000
agent_3 = 39.298477
agent_4 = 0.000000
agent_5 = 9.322374
agent_6 = 0.000000
agent_7 = 0.000000
agent_8 = 0.181818
agent_9 = 0.181818
agent_10 = 0.000000
agent_11 = 0.381818
agent_12 = 11.485714
agent_13 = 1.885714
agent_14 = 34.885714
agent_15 = 0.000000
agent_16 = 0.000000
agent_17 = 14.326027
agent_18 = 0.000000
agent_19 = 0.000000

